StudentId,Placed,Age,CGPA,Internships,Projects,AptitudeScore,CommunicationScore,Attendance,Backlogs,Branch,Gender,TrainingCompleted
3001,0,22.0,7.72,1.0,1.0,71.3,55.0,87.0,2.0,Civil,Male,Yes
3002,1,24.8,8.51,0.0,1.0,63.4,70.2,82.2,0.0,Civil,Male,Yes
3003,1,21.6,8.84,2.0,3.0,71.4,76.4,90.7,1.0,ME,Male,Yes
3004,1,21.2,7.6,0.0,5.0,71.7,89.7,74.9,0.0,Civil,Female,No
3005,1,23.0,6.91,3.0,4.0,62.0,74.7,97.5,0.0,Civil,Female,Yes
3006,1,22.8,8.96,2.0,5.0,72.6,61.1,87.8,0.0,Civil,Male,Yes
3007,0,22.1,7.59,0.0,2.0,59.8,75.7,67.4,1.0,CSE,Male,No
3008,1,21.1,7.35,1.0,4.0,96.0,93.7,76.6,0.0,ECE,Male,No
3009,0,23.0,7.76,0.0,1.0,72.2,66.7,62.6,1.0,ECE,Male,No
3010,1,21.7,8.65,1.0,2.0,76.6,60.9,89.2,0.0,CSE,Male,No
3011,0,22.7,7.46,0.0,1.0,65.3,69.6,87.1,2.0,ME,Female,No
3012,1,20.4,8.49,2.0,3.0,57.9,61.5,77.9,0.0,,Male,Yes
3013,0,20.7,7.29,0.0,2.0,79.7,80.8,92.8,1.0,ECE,Female,No
3014,0,21.6,8.11,0.0,2.0,72.6,61.6,81.2,0.0,CSE,Male,
3015,0,19.9,6.55,0.0,1.0,31.4,86.8,100.0,0.0,ECE,Female,Yes
3016,1,21.0,8.57,1.0,3.0,95.0,76.4,71.2,0.0,ECE,Female,Yes
3017,0,19.8,6.82,1.0,1.0,78.3,79.1,87.8,1.0,EEE,Female,Yes
3018,1,19.5,7.96,3.0,3.0,62.7,79.0,78.4,1.0,CSE,Male,No
3019,0,24.7,6.01,3.0,2.0,76.5,81.1,75.9,2.0,ECE,Female,No
3020,1,20.7,7.52,0.0,2.0,73.9,66.0,80.4,1.0,EEE,Male,Yes
3021,0,20.8,7.69,0.0,3.0,74.9,,85.3,0.0,ME,Female,No
3022,0,21.6,6.82,0.0,0.0,,63.8,82.5,0.0,CSE,Male,No
3023,0,20.1,7.39,2.0,2.0,69.0,82.0,88.1,0.0,CSE,Male,Yes
3024,0,20.8,7.76,0.0,2.0,72.2,47.0,87.5,3.0,CSE,Male,No
3025,1,23.9,8.06,0.0,1.0,85.2,44.0,95.1,1.0,ME,,Yes
3026,1,22.0,7.6,0.0,3.0,69.4,72.9,71.2,0.0,ECE,Male,No
3027,1,22.8,8.83,2.0,3.0,74.0,81.0,68.0,1.0,CSE,Female,Yes
3028,1,23.5,8.66,3.0,2.0,55.3,82.7,81.4,1.0,CSE,Male,No
3029,0,21.8,7.47,1.0,0.0,68.9,57.6,74.9,0.0,ME,Female,No
3030,0,21.2,6.17,1.0,3.0,80.1,54.7,89.9,2.0,ECE,Male,No
3031,0,19.6,7.01,1.0,1.0,58.4,61.1,72.4,1.0,ECE,Male,Yes
3032,0,21.0,5.27,0.0,3.0,62.6,64.9,77.1,0.0,ECE,Male,Yes
3033,0,21.3,7.32,1.0,2.0,54.5,65.6,79.0,1.0,CSE,Male,Yes
3034,1,20.5,8.9,2.0,1.0,49.0,71.6,97.9,0.0,CSE,Male,No
3035,1,23.5,8.29,3.0,1.0,55.9,,100.0,0.0,CSE,Male,Yes
3036,0,22.9,7.58,0.0,3.0,75.9,69.2,71.7,1.0,CSE,Male,Yes
3037,0,22.8,6.77,2.0,0.0,64.6,82.2,62.2,0.0,Civil,Female,No
3038,1,21.3,,3.0,3.0,56.0,78.5,76.8,0.0,ECE,Male,Yes
3039,1,20.2,9.63,0.0,5.0,98.5,60.8,81.7,0.0,EEE,Female,No
3040,1,23.2,8.99,1.0,1.0,58.2,78.4,81.6,0.0,CSE,Female,Yes
3041,1,21.9,7.35,3.0,4.0,76.7,77.5,81.2,0.0,CSE,Female,Yes
3042,1,22.5,6.02,0.0,5.0,72.7,70.0,89.3,0.0,CSE,Female,Yes
3043,1,22.3,9.71,0.0,3.0,71.5,72.3,78.4,0.0,EEE,Male,No
3044,0,21.9,6.77,0.0,0.0,42.4,69.2,83.9,1.0,CSE,Female,Yes
3045,0,24.1,8.03,1.0,3.0,85.8,55.8,87.8,0.0,ECE,Male,Yes
3046,0,20.6,5.94,,0.0,72.5,100.0,84.0,0.0,EEE,Male,No
3047,1,21.1,7.18,2.0,2.0,80.9,83.7,88.1,0.0,Civil,Female,No
3048,0,23.6,5.94,0.0,4.0,,76.9,66.6,,CSE,Female,Yes
3049,0,21.6,6.34,1.0,3.0,92.0,64.7,83.0,0.0,CSE,Female,No
3050,0,21.3,6.58,1.0,1.0,54.0,68.8,84.1,0.0,CSE,Male,Yes
3051,0,,7.98,0.0,0.0,57.9,54.8,80.5,0.0,EEE,Male,Yes
3052,0,22.4,7.4,1.0,3.0,59.9,76.1,76.6,1.0,CSE,Female,No
3053,1,,10.0,1.0,1.0,55.9,74.4,86.2,0.0,ECE,Female,Yes
3054,1,21.1,8.63,2.0,3.0,86.5,67.3,83.1,1.0,ECE,Male,No
3055,1,22.4,,1.0,3.0,54.0,70.4,81.5,0.0,CSE,Male,Yes
3056,1,21.6,8.0,1.0,2.0,62.7,66.1,79.0,0.0,CSE,Female,No
3057,0,,7.78,2.0,0.0,45.2,63.6,79.4,0.0,ECE,Female,Yes
3058,1,21.5,8.69,2.0,4.0,78.2,59.9,75.1,,CSE,Male,No
3059,0,23.3,5.12,2.0,1.0,66.2,56.7,77.7,0.0,CSE,Female,Yes
3060,1,22.5,6.88,0.0,6.0,80.4,60.9,73.5,0.0,ECE,Male,No
3061,0,23.5,6.14,1.0,4.0,77.8,61.9,78.5,2.0,EEE,Female,Yes
3062,0,20.5,5.62,0.0,1.0,45.0,84.2,85.3,0.0,CSE,Male,No
3063,0,22.9,6.73,1.0,2.0,70.6,62.0,89.4,1.0,ECE,,No
3064,0,20.7,6.35,4.0,3.0,52.7,43.6,81.5,2.0,CSE,Female,Yes
3065,1,19.9,8.69,1.0,3.0,70.0,73.8,81.3,0.0,EEE,Male,Yes
3066,0,20.5,7.59,0.0,1.0,59.8,78.1,83.3,0.0,ME,Female,No
3067,0,21.7,5.49,1.0,3.0,93.7,82.6,90.9,0.0,ME,Female,Yes
3068,0,22.8,7.81,0.0,1.0,,72.2,80.0,0.0,CSE,Female,No
3069,0,21.9,6.49,0.0,4.0,64.6,55.2,86.2,0.0,ECE,Male,Yes
3070,1,21.3,7.56,1.0,3.0,69.4,59.6,85.3,0.0,ME,Female,No
3071,1,20.2,7.89,0.0,2.0,36.0,77.8,76.4,2.0,CSE,Female,No
3072,0,22.4,6.75,0.0,0.0,45.0,89.0,88.4,0.0,ECE,Female,Yes
3073,0,22.8,7.72,3.0,1.0,73.4,55.1,63.4,2.0,ME,Male,Yes
3074,1,21.9,7.9,2.0,3.0,67.5,72.8,91.6,0.0,CSE,Male,Yes
3075,1,20.1,7.34,1.0,2.0,73.9,62.8,71.3,0.0,ECE,Male,Yes
3076,0,22.6,6.78,2.0,1.0,56.8,,80.7,0.0,EEE,Male,Yes
3077,0,23.1,7.5,1.0,1.0,72.2,70.5,89.5,2.0,CSE,Female,No
3078,0,23.5,7.36,1.0,0.0,32.6,68.3,78.2,4.0,ECE,Male,No
3079,1,20.9,7.82,4.0,1.0,59.5,43.7,84.1,0.0,CSE,Female,Yes
3080,0,22.1,7.24,2.0,2.0,74.5,72.6,89.6,3.0,CSE,Male,No
3081,1,20.8,6.31,0.0,0.0,91.8,74.3,98.6,0.0,CSE,Male,Yes
3082,0,20.3,7.33,0.0,2.0,66.4,79.7,81.9,0.0,ECE,Male,Yes
3083,1,23.6,7.83,0.0,2.0,,62.6,83.6,1.0,CSE,Female,Yes
3084,0,22.2,7.69,0.0,,58.6,49.4,82.4,1.0,ECE,Male,No
3085,0,23.2,7.39,0.0,4.0,74.2,64.5,80.0,2.0,,Male,No
3086,0,19.9,7.01,1.0,1.0,61.1,79.2,69.9,0.0,CSE,Female,Yes
3087,0,21.9,6.96,2.0,2.0,95.4,69.0,71.9,2.0,CSE,,Yes
3088,1,22.2,7.07,2.0,3.0,63.4,81.0,81.9,0.0,CSE,Female,Yes
3089,1,20.4,8.58,0.0,3.0,65.6,53.1,85.1,0.0,CSE,Female,No
3090,0,23.4,6.55,0.0,0.0,78.8,80.6,93.4,0.0,CSE,Male,Yes
3091,1,21.2,7.59,1.0,3.0,75.0,73.2,,0.0,EEE,Female,
3092,0,22.1,6.24,0.0,2.0,62.9,65.4,95.8,1.0,CSE,Female,No
3093,1,20.8,8.26,0.0,1.0,73.7,83.9,71.2,1.0,CSE,Male,Yes
3094,0,19.9,6.96,1.0,1.0,53.2,73.1,83.9,0.0,EEE,Male,No
3095,0,22.7,6.67,1.0,1.0,71.2,57.2,,1.0,ECE,Female,Yes
3096,0,22.0,7.72,1.0,1.0,75.7,82.8,70.2,0.0,ECE,Female,No
3097,0,21.8,5.04,1.0,0.0,150.0,66.9,66.8,1.0,ME,Male,Yes
3098,0,21.1,6.2,1.0,3.0,62.8,70.5,78.1,0.0,CSE,Male,No
3099,0,22.0,,1.0,3.0,59.2,58.8,78.8,1.0,Civil,Female,No
3100,0,23.1,8.51,1.0,2.0,47.9,69.3,,0.0,Civil,Male,No
3101,1,20.6,7.95,1.0,3.0,73.8,57.7,88.9,0.0,CSE,Female,No
3102,1,22.2,7.64,0.0,0.0,61.3,67.8,78.3,1.0,Civil,Female,No
3103,1,21.8,9.91,2.0,3.0,75.8,70.4,73.1,1.0,ME,Male,Yes
3104,1,21.3,7.99,2.0,2.0,65.4,77.9,79.9,1.0,Civil,Male,Yes
3105,0,19.4,6.46,0.0,1.0,76.6,51.7,76.3,1.0,EEE,Female,Yes
3106,0,21.5,8.52,0.0,1.0,44.0,83.0,96.8,1.0,EEE,Male,No
3107,1,22.4,6.86,2.0,3.0,52.0,83.4,79.2,0.0,CSE,,No
3108,0,21.9,6.79,1.0,3.0,56.2,67.5,73.7,0.0,ECE,Female,No
3109,0,19.6,6.12,1.0,3.0,84.8,71.7,96.8,1.0,CSE,Female,No
3110,1,23.1,7.09,0.0,2.0,73.6,74.0,88.5,0.0,CSE,Female,No
3111,0,23.6,6.27,1.0,0.0,64.3,71.1,83.0,0.0,Civil,Male,No
3112,1,21.4,8.06,2.0,1.0,61.3,77.8,74.8,1.0,CSE,,No
3113,0,24.5,7.37,0.0,0.0,76.3,65.0,88.9,0.0,EEE,Male,No
3114,0,20.4,6.14,,3.0,59.8,60.1,68.8,2.0,CSE,Female,Yes
3115,1,19.8,7.42,2.0,5.0,78.3,75.6,88.2,1.0,CSE,Male,Yes
3116,1,20.2,8.49,1.0,2.0,65.0,50.2,84.3,0.0,ECE,Female,No
3117,1,21.8,9.12,1.0,1.0,86.1,78.0,90.9,2.0,CSE,Female,No
3118,0,19.2,5.71,2.0,2.0,54.8,79.4,60.8,0.0,Civil,Male,No
3119,0,21.1,6.72,2.0,2.0,66.2,59.8,73.7,0.0,CSE,Female,No
3120,0,,6.21,4.0,,55.1,88.5,73.0,2.0,CSE,Female,Yes
3121,1,19.5,7.85,2.0,1.0,90.8,65.4,71.9,1.0,CSE,Female,Yes
3122,0,20.8,6.09,1.0,4.0,68.3,64.3,85.8,1.0,CSE,Male,Yes
3123,0,20.2,8.56,2.0,2.0,53.9,61.5,79.3,1.0,CSE,Female,Yes
3124,0,21.1,8.7,1.0,2.0,55.4,75.8,74.2,1.0,ECE,Male,Yes
3125,1,21.0,8.32,0.0,0.0,75.2,64.9,72.1,0.0,ECE,Female,No
3126,0,20.6,6.78,1.0,2.0,42.5,51.3,73.3,1.0,CSE,Male,Yes
3127,1,21.3,6.85,3.0,6.0,65.5,74.4,89.8,0.0,CSE,Female,No
3128,0,22.3,7.04,2.0,1.0,56.1,66.2,81.4,1.0,ME,Female,Yes
3129,1,23.3,8.61,1.0,2.0,65.8,84.1,89.5,0.0,ECE,Male,No
