vehicle_age_years,engine_vibration,battery_health_pct,mileage_km_per_l,service_count,class
16.02,4.31,92.22,7.59,13.99,Excellent
91.96,7.65,58.14,5.13,2.46,Poor
37.74,5.24,83.19,7.85,16.11,Excellent
99.44,8.18,50.76,3.64,3.8,Poor
114.13,8.92,52.12,3.36,1.98,Poor
21.55,3.74,86.27,7.12,16.23,Excellent
72.65,6.57,75.91,5.7,7.17,Good
44.04,5.6,78.93,7.24,8.0,Good
3.76,3.74,89.53,7.92,12.56,Excellent
94.66,8.5,57.1,4.59,4.52,Poor
102.96,10.3,54.62,3.48,2.34,Poor
52.68,6.53,69.47,6.59,9.28,Good
55.88,5.24,74.07,6.39,7.16,Good
13.55,4.08,97.68,7.85,14.91,Excellent
50.42,5.21,74.38,6.21,5.28,Good
27.25,5.23,88.53,7.88,17.07,Excellent
19.06,3.12,88.4,7.7,14.44,Excellent
6.86,3.56,95.88,8.01,13.33,Excellent
37.45,5.26,77.65,6.79,6.31,Good
136.99,8.24,59.61,3.64,2.11,Poor
62.28,6.67,69.34,6.3,7.63,Good
18.47,3.76,97.14,7.78,14.46,Excellent
111.03,8.89,53.92,4.85,3.03,Poor
40.02,5.7,70.5,5.5,8.29,Good
63.9,6.69,79.7,6.13,7.33,Good
109.85,8.32,52.29,3.72,3.2,Poor
37.02,5.4,79.91,5.68,11.42,Good
114.51,8.58,52.67,4.32,3.44,Poor
26.56,4.24,89.56,7.97,15.54,Excellent
101.18,9.11,52.14,5.0,3.22,Poor
118.92,10.45,56.79,4.6,3.72,Poor
109.7,9.34,52.67,3.39,4.34,Poor
109.46,9.17,61.1,3.69,4.13,Poor
21.79,3.89,92.84,7.85,14.12,Excellent
34.19,7.27,69.49,5.9,7.49,Good
19.52,5.69,87.08,8.35,17.84,Excellent
114.85,8.8,48.49,3.9,3.43,Poor
39.7,6.71,77.1,6.27,8.66,Good
11.31,4.34,91.7,7.65,19.66,Excellent
55.77,6.17,74.82,6.52,8.68,Good
42.99,6.63,71.58,5.53,6.91,Good
16.83,4.99,91.31,7.99,16.73,Excellent
100.94,9.45,65.05,4.43,4.05,Poor
30.99,5.65,68.2,5.37,5.99,Good
115.16,9.2,54.51,3.81,3.91,Poor
54.17,6.52,69.53,5.57,8.36,Good
116.02,7.96,50.01,4.79,4.19,Poor
22.46,3.82,95.49,7.73,16.32,Excellent
63.98,6.23,79.54,7.01,11.09,Good
60.82,5.66,70.7,6.05,9.94,Good
11.92,4.03,87.42,8.44,16.91,Excellent
19.24,4.65,94.34,7.73,14.59,Excellent
102.35,10.56,51.85,5.13,2.37,Poor
58.36,5.72,78.28,7.0,7.61,Good
57.62,5.95,69.6,7.48,7.09,Good
103.91,9.49,46.94,3.99,3.08,Poor
9.08,4.81,93.06,8.1,13.83,Excellent
65.29,5.57,74.58,6.39,10.04,Good
51.54,6.44,64.57,5.8,8.54,Good
14.75,3.52,92.34,8.45,12.35,Excellent
29.0,6.56,69.45,5.79,9.36,Good
41.94,6.01,67.64,6.25,9.42,Good
55.08,6.69,64.38,6.38,10.0,Good
22.71,3.32,87.15,8.09,16.54,Excellent
18.33,3.82,96.91,8.07,13.76,Excellent
133.66,9.79,51.58,4.95,2.41,Poor
19.99,3.47,91.4,7.37,15.8,Excellent
121.21,9.43,47.71,4.05,1.49,Poor
53.45,6.71,69.5,5.85,4.76,Good
21.85,4.24,89.95,8.1,18.5,Excellent
9.56,3.84,95.75,7.88,14.0,Excellent
88.96,8.28,55.39,3.91,1.64,Poor
23.51,4.24,89.63,6.81,12.62,Excellent
128.62,9.43,47.14,4.06,2.56,Poor
5.79,4.14,90.32,7.7,13.07,Excellent
38.49,6.64,86.21,5.42,5.79,Good
113.42,9.97,57.75,4.28,3.12,Poor
56.2,7.09,68.01,6.78,8.39,Good
110.24,8.72,47.5,3.95,2.09,Poor
25.52,3.38,89.99,8.21,13.26,Excellent
111.64,9.56,51.78,4.69,3.44,Poor
47.47,6.15,66.78,6.91,8.92,Good
17.65,3.77,89.02,8.54,13.92,Excellent
145.44,9.51,57.83,4.47,1.43,Poor
52.78,6.62,72.29,6.15,10.68,Good
8.55,3.99,92.02,8.03,14.55,Excellent
33.61,4.11,86.77,8.68,14.8,Excellent
123.22,7.24,52.58,5.02,1.5,Poor
25.12,4.87,91.83,7.97,12.05,Excellent
40.18,7.39,75.68,5.85,5.85,Good
38.29,6.84,71.07,6.22,4.1,Good
102.5,8.76,59.49,4.17,2.35,Poor
100.39,8.35,54.91,4.76,3.61,Poor
17.35,5.11,90.26,8.24,15.08,Excellent
46.35,6.23,75.37,6.16,5.77,Good
17.57,3.91,93.18,6.8,14.95,Excellent
19.07,4.12,92.75,7.55,13.54,Excellent
40.3,5.83,79.98,5.67,6.53,Good
122.76,9.21,43.92,4.83,2.34,Poor
103.36,9.12,47.22,4.21,2.72,Poor
139.37,8.89,56.14,3.23,3.14,Poor
17.26,4.29,89.24,7.94,13.26,Excellent
6.92,4.08,87.51,8.4,15.44,Excellent
101.22,7.95,52.18,4.24,4.16,Poor
11.9,4.18,86.15,7.39,14.84,Excellent
44.7,6.01,76.42,6.29,9.62,Good
46.2,6.73,77.72,6.4,8.1,Good
47.46,5.77,70.67,6.71,7.46,Good
128.26,9.52,46.86,4.81,2.01,Poor
29.21,3.93,97.16,7.2,16.27,Excellent
17.16,3.33,95.25,8.3,15.65,Excellent
50.09,6.19,78.99,6.05,7.6,Good
49.74,6.6,79.29,6.21,6.31,Good
53.08,5.52,75.09,5.63,6.43,Good
94.4,7.46,54.64,4.74,2.57,Poor
59.7,5.79,81.66,5.45,5.93,Good
91.67,9.04,47.79,4.31,0.19,Poor
51.46,6.93,69.82,5.84,8.53,Good
106.9,8.42,54.12,4.15,2.51,Poor
112.69,8.98,39.16,4.81,1.8,Poor
54.04,5.74,81.95,5.69,8.84,Good
20.15,3.94,88.64,8.6,14.12,Excellent
63.56,7.07,73.62,5.98,6.85,Good
11.43,3.72,92.93,7.68,13.35,Excellent
30.39,4.25,93.39,7.87,18.17,Excellent
49.99,6.63,72.68,5.45,8.7,Good
10.49,4.01,93.63,7.43,15.11,Excellent
30.9,4.42,95.55,7.47,14.41,Excellent
52.22,6.56,82.77,5.35,7.08,Good
56.83,6.53,77.12,6.05,7.66,Good
108.94,9.46,52.07,3.71,3.78,Poor
114.34,8.67,51.16,3.65,4.13,Poor
30.77,4.39,95.49,7.63,14.17,Excellent
9.31,3.93,89.51,8.03,16.4,Excellent
113.92,8.43,51.95,4.17,4.06,Poor
89.1,9.31,56.49,4.98,3.41,Poor
31.16,4.63,94.51,8.05,13.89,Excellent
55.92,7.16,67.62,6.81,9.41,Good
107.98,8.96,44.13,4.37,3.55,Poor
26.45,4.62,94.68,8.26,17.31,Excellent
106.01,8.82,55.95,4.12,1.13,Poor
14.27,4.35,86.12,8.03,16.3,Excellent
