IncidentID,Hour,Weather,RoadType,TrafficDensity,VisibilityKm,AverageSpeed,VehicleCount,Weekend,RoadCondition,Incident
TRF-00001,20,Clear,Residential,17,8.7,77,527,Yes,Fair,No Incident
TRF-00002,4,Rain,Urban,63,11.5,82,607,No,Good,No Incident
TRF-00003,0,Clear,Urban,63,14.2,36,220,No,Good,No Incident
TRF-00004,15,Fog,Residential,55,10.8,96,253,No,Fair,No Incident
TRF-00005,8,Fog,Residential,27,12.6,22,155,No,Good,Incident
TRF-00006,11,Clear,Highway,32,3.3,73,550,No,Fair,No Incident
TRF-00007,1,Rain,Urban,63,8.3,66,243,No,Fair,No Incident
TRF-00008,8,Clear,Residential,21,14.1,64,494,No,Good,No Incident
TRF-00009,15,Rain,Industrial,14,5.5,34,412,No,Good,No Incident
TRF-00010,8,Clear,Urban,55,3.5,28,144,No,Good,No Incident
TRF-00011,19,Clear,Urban,87,9.4,21,656,No,Good,No Incident
TRF-00012,18,Storm,Urban,57,14.0,100,141,No,Fair,Incident
TRF-00013,16,Fog,Urban,22,1.9,39,426,No,Fair,No Incident
TRF-00014,21,Clear,Highway,94,11.4,59,568,No,Good,No Incident
TRF-00015,17,Clear,Urban,28,13.3,30,503,No,Good,No Incident
TRF-00016,4,Clear,Urban,22,12.7,79,315,No,Good,No Incident
TRF-00017,20,Clear,Residential,65,6.9,63,706,No,Fair,No Incident
TRF-00018,15,Clear,Residential,36,14.7,27,277,No,Fair,No Incident
TRF-00019,2,Clear,Residential,71,14.0,30,664,Yes,Fair,No Incident
TRF-00020,7,Clear,Urban,59,3.1,78,484,Yes,Fair,Incident
TRF-00021,3,Clear,Urban,8,10.0,79,507,No,Good,Incident
TRF-00022,23,Clear,Highway,56,5.6,60,270,No,Fair,No Incident
TRF-00023,17,Fog,Industrial,51,5.3,58,550,No,Good,Incident
TRF-00024,22,Rain,Residential,38,5.2,71,596,No,Good,No Incident
TRF-00025,6,Rain,Residential,45,4.2,76,591,No,Fair,No Incident
TRF-00026,15,Rain,Industrial,91,11.0,43,542,Yes,Good,No Incident
TRF-00027,14,Clear,Urban,5,6.1,78,142,No,Good,No Incident
TRF-00028,18,Rain,Urban,6,8.0,33,161,No,Good,Incident
TRF-00029,2,Fog,Urban,10,10.5,72,284,Yes,Good,No Incident
TRF-00030,12,Storm,Industrial,33,4.7,70,663,Yes,Good,No Incident
TRF-00031,15,Clear,Residential,41,1.4,75,215,No,Poor,Incident
TRF-00032,19,Fog,Highway,69,10.4,95,214,Yes,Fair,Incident
TRF-00033,15,Rain,Urban,10,6.3,94,95,No,Good,Incident
TRF-00034,10,Clear,Highway,24,1.3,45,979,Yes,Fair,Incident
TRF-00035,11,Rain,Urban,75,4.3,89,624,No,Fair,Incident
TRF-00036,8,Clear,Residential,93,4.2,89,567,No,Poor,Incident
TRF-00037,3,Clear,Residential,85,12.4,86,894,No,Good,Incident
TRF-00038,6,Clear,Residential,26,2.4,34,226,Yes,Fair,Incident
TRF-00039,3,Rain,Highway,93,8.3,60,787,No,Fair,Incident
TRF-00040,5,Clear,Industrial,6,12.6,70,132,No,Fair,No Incident
TRF-00041,20,Clear,Urban,55,11.8,32,976,No,Good,No Incident
TRF-00042,12,Clear,Urban,21,6.3,95,166,No,Poor,Incident
TRF-00043,2,Clear,Industrial,66,14.0,41,474,No,Good,No Incident
TRF-00044,10,Rain,Highway,77,12.0,81,193,Yes,Good,No Incident
TRF-00045,6,Clear,Highway,12,2.2,59,235,No,Good,No Incident
TRF-00046,15,Rain,Highway,96,13.9,94,734,No,Poor,Incident
TRF-00047,19,Fog,Residential,52,13.6,62,583,No,Fair,No Incident
TRF-00048,0,Storm,Urban,99,12.5,66,339,No,Good,Incident
TRF-00049,11,Clear,Residential,11,11.3,87,778,No,Good,No Incident
TRF-00050,10,Clear,Residential,81,3.0,100,500,No,Fair,Incident
TRF-00051,23,Clear,Industrial,31,8.0,58,749,Yes,Poor,No Incident
TRF-00052,8,Clear,Residential,55,3.0,70,392,No,Good,Incident
TRF-00053,3,Clear,Urban,16,4.5,42,699,No,Poor,No Incident
TRF-00054,4,Rain,Residential,38,9.9,76,92,Yes,Fair,No Incident
TRF-00055,11,Clear,Residential,31,11.9,55,233,No,Good,No Incident
TRF-00056,14,Clear,Highway,19,5.6,60,623,No,Good,No Incident
TRF-00057,7,Clear,Residential,20,3.1,49,593,No,Good,No Incident
TRF-00058,10,Clear,Urban,45,14.7,92,671,No,Good,No Incident
TRF-00059,15,Rain,Highway,1,3.8,82,906,No,Fair,Incident
TRF-00060,7,Clear,Urban,49,1.7,27,510,No,Poor,Incident
TRF-00061,23,Clear,Highway,13,4.0,55,444,No,Good,No Incident
TRF-00062,5,Rain,Urban,6,3.4,45,905,No,Good,Incident
TRF-00063,22,Clear,Highway,40,10.0,71,112,No,Poor,No Incident
TRF-00064,20,Rain,Residential,25,13.0,22,691,Yes,Fair,No Incident
TRF-00065,22,Clear,Highway,41,9.0,97,387,No,Poor,No Incident
TRF-00066,19,Rain,Highway,97,13.1,74,690,No,Good,Incident
TRF-00067,12,Clear,Residential,60,9.6,31,451,No,Fair,No Incident
TRF-00068,14,Clear,Urban,35,2.5,89,385,No,Fair,No Incident
TRF-00069,4,Rain,Urban,40,6.2,31,505,No,Fair,Incident
TRF-00070,8,Clear,Highway,11,14.7,69,278,Yes,Poor,Incident
TRF-00071,11,Rain,Urban,41,7.8,79,581,No,Good,No Incident
TRF-00072,22,Fog,Residential,6,2.9,33,95,No,Good,Incident
TRF-00073,19,Clear,Highway,85,2.2,61,274,No,Fair,Incident
TRF-00074,13,Clear,Residential,67,9.7,97,446,No,Good,No Incident
TRF-00075,14,Rain,Highway,95,13.1,20,772,No,Good,Incident
TRF-00076,10,Clear,Urban,15,10.4,65,916,No,Good,No Incident
TRF-00077,10,Rain,Highway,31,13.7,47,538,No,Good,No Incident
TRF-00078,21,Clear,Residential,55,6.7,60,560,No,Poor,No Incident
TRF-00079,0,Clear,Residential,51,3.6,62,501,No,Good,No Incident
TRF-00080,7,Clear,Highway,99,7.0,69,123,No,Good,No Incident
TRF-00081,9,Rain,Residential,8,9.2,33,801,No,Good,No Incident
TRF-00082,16,Rain,Residential,78,6.9,84,825,Yes,Poor,Incident
TRF-00083,9,Rain,Industrial,54,14.2,20,233,No,Fair,Incident
TRF-00084,7,Fog,Urban,74,6.6,61,325,No,Good,No Incident
TRF-00085,1,Storm,Urban,29,4.6,35,397,No,Fair,Incident
TRF-00086,6,Clear,Highway,99,4.1,28,997,No,Fair,No Incident
TRF-00087,2,Rain,Highway,90,12.8,96,394,No,Fair,Incident
TRF-00088,16,Clear,Highway,21,9.1,95,578,No,Good,No Incident
TRF-00089,10,Clear,Highway,41,9.3,92,101,Yes,Good,No Incident
TRF-00090,5,Fog,Urban,31,5.8,32,680,No,Good,No Incident
TRF-00091,12,Clear,Residential,11,9.2,60,659,Yes,Fair,No Incident
TRF-00092,11,Clear,Residential,72,5.0,57,143,No,Good,No Incident
TRF-00093,11,Clear,Urban,36,1.1,97,135,No,Good,No Incident
TRF-00094,13,Rain,Urban,87,12.3,48,491,Yes,Fair,No Incident
TRF-00095,15,Fog,Residential,37,10.3,100,326,No,Good,Incident
TRF-00096,4,Rain,Highway,60,7.1,67,373,No,Good,No Incident
TRF-00097,3,Rain,Urban,4,5.8,34,133,Yes,Fair,No Incident
TRF-00098,17,Clear,Urban,37,7.6,32,353,No,Good,No Incident
TRF-00099,23,Clear,Industrial,89,14.2,48,68,No,Fair,No Incident
TRF-00100,13,Clear,Urban,45,3.8,82,814,No,Fair,Incident
TRF-00101,10,Rain,Residential,25,11.4,60,469,Yes,Fair,No Incident
TRF-00102,14,Clear,Industrial,69,10.8,77,891,No,Good,No Incident
TRF-00103,0,Clear,Urban,50,11.2,82,472,No,Good,No Incident
TRF-00104,8,Storm,Highway,95,6.3,28,136,Yes,Good,Incident
TRF-00105,8,Clear,Residential,33,2.2,21,69,No,Good,No Incident
TRF-00106,10,Rain,Urban,11,11.1,26,858,No,Poor,Incident
TRF-00107,17,Clear,Urban,86,10.5,82,910,No,Fair,Incident
TRF-00108,11,Fog,Urban,96,14.2,28,552,Yes,Good,Incident
TRF-00109,20,Clear,Residential,28,12.9,56,796,No,Poor,No Incident
TRF-00110,11,Rain,Residential,12,10.7,71,631,No,Fair,No Incident
TRF-00111,0,Storm,Residential,47,6.6,54,505,No,Good,No Incident
TRF-00112,16,Rain,Urban,18,10.2,89,691,No,Good,No Incident
TRF-00113,19,Clear,Highway,53,7.7,78,825,No,Good,Incident
TRF-00114,13,Storm,Residential,45,7.8,69,772,No,Fair,Incident
TRF-00115,22,Fog,Highway,46,7.1,24,691,Yes,Poor,Incident
TRF-00116,9,Rain,Urban,15,9.8,97,480,No,Fair,No Incident
TRF-00117,19,Clear,Urban,87,6.5,82,430,No,Good,Incident
TRF-00118,0,Rain,Highway,56,2.2,76,70,No,Good,No Incident
